Description | Path Type | Advisor | Pride Points
Desert storm sweeps through the territory|1|4|-500
Fatigue from intense training with pride warriors|0|3|-200
Challenging night watch duty under pitch-black conditions|1|2|-400
Encounter with a rival pride’s ambush|0|3|-700
Severe drought affecting water sources|1|4|-800
Minor injury during hunting training|0|3|-300
Dangerous predator attacks at night|1|2|-1000
Difficult hunting season during a new moon|0|2|-500
Failed to secure food during a swift hunt|1|5|-300
Harsh winds disrupt hunting grounds|0|4|-800
Encounter with a deadly sandstorm|1|4|-600
Lost a valuable resource in enemy territory|0|3|-800
Missed seasonal gathering due to night travel hazards|1|2|-400
Emergency rescue mission at night|0|1|-600
Encountered a cunning ambush|1|1|-700
Injured during a high-energy confrontation|0|3|-500
Dehydration due to unexpected heatwave|1|4|-300
Quick escape required from a sudden flood|0|5|-500
Got lost while tracking prey at dusk|1|2|-400
Struggled in a difficult chase through dense terrain|0|5|-300
